nom,longitude,latitude,categorie,secteur,type_usage,aire,image,date_creation,zone,limite,date_collecte,agent_collecteur,info_modifier_le,geometry
Aire de jeux Maracana,1.211354,6.185999,,,,1032.6187206359655,,,,,2024-02-29 22:19:05,,2024-02-29 22:19:05,"MULTIPOLYGON (((302088.30156370904 684073.1210143248, 302067.3833752356 684112.7230508195, 302087.77735623706 684123.4780641497, 302108.6955503605 684083.8760376137, 302088.30156370904 684073.1210143248)))"
petit terrain football,1.217952,6.171249,,,,6306.024935040449,,,,,2024-02-29 22:19:05,,2024-02-29 22:19:05,"MULTIPOLYGON (((302785.33886179136 682516.1474921778, 302849.8466076978 682509.7229360325, 302840.7299392056 682413.5630856168, 302776.0267335287 682418.7465167013, 302785.33886179136 682516.1474921778)))"
terrain volleyball,1.217315,6.169452,,,,695.2467955802588,,,,,2024-02-29 22:19:05,,2024-02-29 22:19:05,"MULTIPOLYGON (((302726.38209904375 682254.3341397526, 302736.80327989097 682284.8886766217, 302757.18994092534 682277.9468854342, 302746.7687715172 682247.3923477248, 302726.38209904375 682254.3341397526)))"
terrain basketball,1.217063,6.169545,,,,929.1239119488192,,,,,2024-02-29 22:19:05,,2024-02-29 22:19:05,"MULTIPOLYGON (((302695.9082080835 682262.551360531, 302709.073407661 682298.708041216, 302731.7668240311 682290.4586359876, 302718.6016394845 682254.3019538168, 302695.9082080835 682262.551360531)))"
terrain basketball,1.211527,6.18643,,,,402.52689973392955,,,,,2024-02-29 22:19:05,,2024-02-29 22:19:05,"MULTIPOLYGON (((302094.96234536933 684155.4835866614, 302107.9820223156 684161.7436883015, 302119.75205441983 684136.0536763433, 302106.896632469 684130.1190826843, 302094.96234536933 684155.4835866614)))"
terrain volleyball,1.211685,6.186126,,,,229.37578437478794,,,,,2024-02-29 22:19:05,,2024-02-29 22:19:05,"MULTIPOLYGON (((302115.8340843733 684119.2745375034, 302125.8573655158 684124.0230924775, 302133.95214196143 684105.1928070661, 302122.8431317874 684101.0456877592, 302115.8340843733 684119.2745375034)))"
scene Bella Bellow,1.217054,6.169165,,,,1377.1069441849786,,,,,2024-02-29 22:19:05,,2024-02-29 22:19:05,"MULTIPOLYGON (((302694.37120572786 682241.3938974519, 302695.43599409965 682258.0446198281, 302722.7210967827 682249.442475727, 302722.2493599057 682242.1526919374, 302735.1102082048 682241.9979277389, 302735.0009878709 682242.7805080754, 302742.9513451333 682242.4541314844, 302742.5019387067 682228.3961867484, 302734.2815649704 682228.3119367701, 302734.33281132416 682226.9149528471, 302721.64102304575 682227.4602582755, 302721.36226771027 682219.3526935695, 302694.8242904054 682209.677747348, 302694.37120572786 682241.3938974519)))"
Aire de jeux Maracana,1.216489,6.169618,,,,1685.8853571005245,,,,,2024-02-29 22:19:05,,2024-02-29 22:19:05,"MULTIPOLYGON (((302638.79552713106 682254.7685335052, 302634.33494340384 682295.4784744151, 302632.587468339 682311.4269715135, 302661.9903016131 682314.6431295907, 302664.09017999464 682295.4784744151, 302668.1983864843 682257.9847026535, 302638.79552713106 682254.7685335052)))"
terrain football,1.217273,6.16684,Sport,Campus Sud,Footbal,6818.499755859375,,,Zone résidentielles 2,limite UL,2024-03-01 17:46:05,,2024-03-01 17:46:05,"MULTIPOLYGON (((302687.75095996156 681942.0745532955, 302687.75095996156 682012.7979465888, 302782.8068390503 682012.5705401795, 302786.4453415992 681942.5293661142, 302687.75095996156 681942.0745532955)))"
terrain macana,1.217034,6.167271,Sport,Campus Sud,Footbal,853.5115814208984,,,Zone résidentielles 2,limite UL,2024-03-01 17:48:40,,2024-03-01 17:48:40,"MULTIPOLYGON (((302728.57041043165 682036.5619163612, 302728.39985562465 682013.3664626123, 302690.6503916803 682013.9349786354, 302690.8777980896 682035.9934003378, 302728.57041043165 682036.5619163612)))"
terrain basketball,1.216982,6.167548,Sport,Campus Sud,Bascketball,418.30543518066406,,,Zone résidentielles 2,limite UL,2024-03-01 17:49:32,,2024-03-01 17:49:32,"MULTIPOLYGON (((302694.9711134571 682042.3607797984, 302709.7525300618 682040.8826381379, 302713.27732940594 682068.8536264821, 302698.8370224152 682070.7865809612, 302694.9711134571 682042.3607797984)))"
terrain de Football UL,1.216748,6.17106,Sport,Campus Sud,Footbal,15630.319458007812,,,Aires sportives 1,limite UL,2024-03-01 18:44:31,,2024-03-01 18:44:31,"MULTIPOLYGON (((302631.53194344713 682502.9823808094, 302647.7612992548 682522.3696654564, 302657.8346925145 682527.9260212623, 302674.94347154297 682532.2431898023, 302688.5345576871 682532.8827703267, 302710.4401906488 682523.1291673292, 302720.99326930183 682512.416193545, 302728.8281307261 682494.1881485988, 302730.10729177494 682483.035463204, 302728.8281307261 682386.8185680603, 302727.62891724263 682371.2287927772, 302720.6734790395 682365.7124107541, 302710.44019064866 682362.1947178697, 302700.2069022579 682360.7556616898, 302675.982789895 682360.1960287307, 302649.83993595914 682363.7936691808, 302640.166280527 682366.5118864095, 302629.6931494395 682369.8696841629, 302630.01293970185 682386.1789875356, 302631.53194344713 682502.9823808094)))"
