nom,longitude,latitude,aire,secteur,image,date_creation,zone,limite,date_collecte,agent_collecteur,info_modifier_le,geometry
Aire de repos 1,1.210619,6.185675,3890.650342572945,,,,,,2024-02-15 13:23:18,,2024-02-15 13:23:18,"MULTIPOLYGON (((301965.58830872737 684081.2070197195, 302016.6239429857 684105.5250172428, 302048.0217508583 684044.1948076552, 301995.698305546 684020.52557559, 301965.58830872737 684081.2070197195)))"
Aire de repos 4,1.207779,6.184413,5751.4182258147275,,,,,,2024-02-15 13:23:18,,2024-02-15 13:23:18,"MULTIPOLYGON (((301660.48646024754 683978.4754423653, 301720.4021915575 683958.294894407, 301738.27048408135 683901.5213429158, 301671.09696738946 683873.3910828681, 301659.496009061 683876.0080702961, 301661.02279580466 683946.2501396391, 301660.48646024754 683978.4754423653)))"
Aire de repos 3,1.212841,6.175475,2709.245822268822,,,,,,2024-02-15 13:23:18,,2024-02-15 13:23:18,"MULTIPOLYGON (((302216.88514780847 682951.8979510639, 302281.39483625384 682954.9037553067, 302282.0701050295 682963.9240364735, 302288.43510488083 682963.8603378516, 302289.0849560336 682940.055191235, 302282.632905693 682939.4323762178, 302283.87530245027 682925.2499182256, 302253.5608208672 682925.351658196, 302252.8466143462 682904.7310871778, 302218.0215189651 682906.1369173015, 302216.88514780847 682951.8979510639)))"
Aire de repos 13,1.214713,6.174163,5415.900034750623,,,,,,2024-02-15 13:23:18,,2024-02-15 13:23:18,"MULTIPOLYGON (((302429.353172533 682838.4032868354, 302479.02167214616 682839.5257035288, 302485.1474641345 682738.2396732542, 302431.59146008623 682736.4857920163, 302426.12390362564 682837.1251802784, 302429.353172533 682838.4032868354)))"
Aire de repos 7,1.214307,6.17656,1568.1413386873585,,,,,,2024-02-15 13:23:18,,2024-02-15 13:23:18,"MULTIPOLYGON (((302441.6851163377 683036.9132846822, 302393.8758695308 683034.2079791886, 302388.9225118674 683077.5279955582, 302403.5810577007 683077.4788199383, 302423.2955063074 683064.6763968705, 302437.9070650402 683050.6174682488, 302441.6851163377 683036.9132846822)))"
Aire de repos 10,1.214191,6.17296,3031.723867397498,,,,,,2024-02-15 13:23:18,,2024-02-15 13:23:18,"MULTIPOLYGON (((302448.0082851212 682641.7487013761, 302348.57155766874 682638.2611796127, 302346.5385826308 682668.9427718091, 302446.8339390756 682671.6829156647, 302448.0082851212 682641.7487013761)))"
Aire de repos 9,1.212954,6.171417,1304.0384996797009,,,,,,2024-02-15 13:23:18,,2024-02-15 13:23:18,"MULTIPOLYGON (((302237.3419331779 682498.6187631584, 302281.64458264865 682500.6864232998, 302282.28483642126 682471.1341453403, 302237.24528650066 682469.8077035646, 302237.3419331779 682498.6187631584)))"
Aire de repos 14,1.212067,6.174938,2837.947645753708,,,,,,2024-02-15 13:23:18,,2024-02-15 13:23:18,"MULTIPOLYGON (((302122.5421854063 682907.07902096, 302174.80506480765 682905.6375391501, 302172.7402664698 682866.9763917457, 302202.4033099479 682864.9434021317, 302203.5943889052 682842.321805989, 302182.2532876461 682841.3802449249, 302173.0039864855 682844.8886005376, 302148.12655577745 682864.5034978265, 302141.4287859714 682870.084972665, 302136.8041353911 682877.5800960192, 302128.6711291981 682890.6566942119, 302122.5421854063 682907.07902096)))"
Aire de repos 5,1.214495,6.175042,4622.858597141704,,,,,,2024-02-15 13:23:18,,2024-02-15 13:23:18,"MULTIPOLYGON (((302392.7815261207 682916.5523821026, 302458.1330936885 682918.8957921147, 302467.21488027886 682877.4755482508, 302469.3764226441 682857.5212218469, 302397.0533779971 682852.7450579948, 302392.7815261207 682916.5523821026)))"
Aire de repos 6,1.216499,6.169144,991.3286314733838,,,,,,2024-02-15 13:23:18,,2024-02-15 13:23:18,"MULTIPOLYGON (((302633.8566184545 682241.4337161909, 302680.610509733 682240.2274463784, 302682.12907927786 682223.0616879349, 302636.2513731772 682222.9719390018, 302633.8566184545 682241.4337161909)))"
Aire de repos 8 ,1.213111,6.17675,649.9454969262736,,,,,,2024-02-15 13:23:18,,2024-02-15 13:23:18,"MULTIPOLYGON (((302260.1040053165 683074.4057680484, 302270.91653913754 683078.1780759578, 302287.14385901415 683086.3755821803, 302293.8345308218 683092.3834152544, 302308.09848290816 683083.4487948497, 302261.63360434177 683056.9445248663, 302260.1040053165 683074.4057680484)))"
Aire de repos 12,1.217058,6.173108,3305.8093098853133,,,,,,2024-02-15 13:23:18,,2024-02-15 13:23:18,"MULTIPOLYGON (((302808.9244494749 682631.3218823586, 302794.7492752823 682612.8941559083, 302629.1832407128 682697.0946906123, 302644.4867096072 682721.7481772198, 302808.9244494749 682631.3218823586)))"
Aire de repos 11,1.217777,6.172005,7401.350476696951,,,,,,2024-02-15 13:23:18,,2024-02-15 13:23:18,"MULTIPOLYGON (((302620.3769137457 682683.8763406775, 302923.12319656403 682533.0170493327, 302906.5062156011 682485.1485289502, 302890.67511652625 682442.4343412169, 302878.52093723917 682407.7606997974, 302875.36661297915 682400.1849893412, 302863.6500231594 682380.5073695494, 302858.2732164473 682372.3482495114, 302847.9061785045 682364.5096661183, 302807.90053746855 682337.8583894875, 302801.4116071527 682346.5426328289, 302849.8185326885 682382.3311225555, 302874.2720025027 682434.2515231458, 302890.43170108227 682481.4548532072, 302907.2292825005 682521.5351582367, 302613.1248190577 682668.7897895343, 302620.3769137457 682683.8763406775)))"
Aire de repos 15,1.212603,6.172903,1912.437929897722,,,,,,2024-02-15 13:23:18,,2024-02-15 13:23:18,"MULTIPOLYGON (((302187.5923175068 682633.2096559554, 302192.7420112351 682656.1152164617, 302251.3419122582 682666.4083566415, 302251.48054250004 682634.4913213898, 302187.5923175068 682633.2096559554)))"
Aire de repos 2,1.212864,6.177885,6377.45946388805,,,,,,2024-02-15 13:23:18,,2024-02-15 13:23:18,"MULTIPOLYGON (((302178.3091691335 683180.8136196245, 302209.3118045893 683193.5988506244, 302278.5222196637 683252.0130137493, 302283.7059042432 683259.0847543174, 302303.0489705488 683257.086409174, 302306.05420542875 683237.3647852552, 302307.8387327644 683196.364868774, 302293.813635929 683195.8929836879, 302273.2173600821 683208.8514854605, 302252.4890900424 683182.4979031534, 302253.7098189782 683161.8708343371, 302229.78472618863 683143.9060687834, 302221.3998989392 683143.9342247406, 302175.7183996166 683177.5999816341, 302178.3091691335 683180.8136196245)))"
