nom,longitude,latitude,aire,secteur,type,camera,toiture,agent_securite,eclairage,image,date_creation,zone,limite,date_collecte,agent_collecteur,info_modifier_le,geometry
Parcking 0,1.210761,6.185353,232.37970630874815,Campus Nord,Moto/Cyclo,True,True,True,True,,,Sciences Economiques et de Gestion,limite UL,2024-11-02 13:59:51,saguintaah,2024-11-02 13:59:51,"MULTIPOLYGON (((302043.0021149364 684039.9109766806, 302045.3271978834 684035.8808329059, 302001.6673069907 684014.438401284, 301999.4972295736 684018.8818931383, 302043.0021149364 684039.9109766806)))"
Parcking 1,1.210423,6.184727,152.50154802846583,Campus Nord,Moto/Cyclo,,True,,,,,Sciences Economiques et de Gestion,limite UL,2024-11-02 13:59:51,SOTOWOU Honorine ,2024-11-02 13:59:51,"MULTIPOLYGON (((301975.5397083701 683967.4659266557, 301980.4537687569 683970.6579658813, 301993.5999303044 683948.7966972376, 301988.4338668209 683945.5206569798, 301975.5397083701 683967.4659266557)))"
Parcking 2,1.210935,6.184758,143.60459536776816,Campus Nord,Moto/Cyclo,,True,,,,,Sciences Economiques et de Gestion,limite UL,2024-11-02 13:59:51,MENSAH Valerie ,2024-11-02 13:59:51,"MULTIPOLYGON (((302051.2666389457 683969.0409460105, 302053.9546719777 683964.2528871722, 302031.56839688245 683953.2907524632, 302029.2583684955 683959.0868236886, 302051.2666389457 683969.0409460105)))"
Parcking 3,1.213583,6.173892,364.2475945501508,Campus Sud,Moto/Cyclo,,True,,,,,Espace administratif et pédagogique 2,limite UL,2024-11-02 13:59:51,NATEMA Osée,2024-11-02 13:59:51,"MULTIPOLYGON (((302329.86315521575 682734.6039210748, 302337.91437272436 682735.4368056447, 302329.89785873954 682783.8135177436, 302323.1437477769 682782.6565894258, 302329.86315521575 682734.6039210748)))"
Parcking 4,1.209388,6.184414,1711.7510596851262,Campus Nord,Moto/Cyclo,,,,,,,Sciences de l'Homme et de la Société,limite UL,2024-11-02 13:59:51,SOTOWOU Honorine ,2024-11-02 13:59:51,"MULTIPOLYGON (((301843.73207452835 683847.8550074254, 301851.1577593737 683850.771404155, 301827.08870202774 683911.9513170727, 301866.0676912476 683931.2768375693, 301867.6986480532 683928.408754641, 301911.1049383322 683949.0167869526, 301909.8224265174 683951.8321639159, 301957.4217691224 683974.5250099539, 301954.8098957462 683980.0327832954, 301816.94280376716 683915.8603428102, 301843.73207452835 683847.8550074254)))"
Parcking 5,1.211529,6.184246,3176.010938087703,Campus Nord,Automobile,,,True,True,,,Sciences Economiques et de Gestion,limite UL,2024-11-02 13:59:51,saguintaah,2024-11-02 13:59:51,"MULTIPOLYGON (((302115.017172415 683857.7488235881, 302146.9660619896 683874.9541651733, 302096.29766360123 683951.5905522456, 302067.2371067204 683935.3126458143, 302115.017172415 683857.7488235881)))"
Parcking 6,1.208613,6.183879,194.88506107284474,Campus Nord,Moto/Cyclo,,,,,,,Sciences de l'Homme et de la Société,limite UL,2024-11-02 13:59:52,nan,2024-11-02 13:59:52,"MULTIPOLYGON (((301783.9254448097 683851.9221510581, 301791.5385286417 683854.3817627577, 301783.6911960765 683877.6895117201, 301776.2186614845 683875.6515477404, 301783.9254448097 683851.9221510581)))"
Parcking 7,1.210544,6.186793,966.5001634088258,Campus Nord,Moto/Cyclo,,,True,True,,,Sciences Economiques et de Gestion,limite UL,2024-11-02 13:59:52,SAGUINTAAH,2024-11-02 13:59:52,"MULTIPOLYGON (((301970.46451869153 684182.8559120683, 301977.583684208 684166.3221808966, 302027.73397292866 684191.0999869077, 302020.13390814885 684206.2001156149, 301970.46451869153 684182.8559120683)))"
Parcking 8,1.210472,6.187087,2974.770669814596,Campus Nord,Automobile,,,True,True,,,Aires sportives 2,limite UL,2024-11-02 13:59:52,SAG,2024-11-02 13:59:52,"MULTIPOLYGON (((301969.88635742443 684184.2088569122, 302030.33399509016 684212.6751708055, 302010.44632557593 684253.6505200623, 301952.2018088402 684225.5921528634, 301969.88635742443 684184.2088569122)))"
Parcking 9,1.214046,6.169932,2174.62363396842,Campus Sud,Automobile,True,,True,True,,,Zone résidentielles 2,limite UL,2024-11-02 13:59:52,saguintaah,2024-11-02 13:59:52,"MULTIPOLYGON (((302398.6778366236 682351.8693262216, 302411.2122415379 682305.421414169, 302355.1117633608 682296.7213400132, 302347.7724213683 682329.9744763254, 302351.220761775 682330.6505642572, 302362.01952327957 682333.4141590918, 302371.82998188684 682336.8534998911, 302384.6705008679 682343.1265607516, 302392.1102735808 682347.7289493101, 302398.6778366236 682351.8693262216)))"
