nom,longitude,latitude,secteur,aire,toiture,categorie,aeration,nature,materiaux,nbre_niveau,camera,extinteur,internet,renove,image,electricite,toilette,date_constru,zone,limite,date_collecte,agent_collecteur,info_modifier_le,nb_bureaux,type_service,heure_ouverture,heure_fermeture,nb_salle,nb_chaise,type_banc,kit_informatique,type_formation,domaine_formation,nb_employe,nb_appartement,loyer_mensuel,lit,cuisine,eau,geometry
cite B,1.215735,6.168097,Campus Sud,938.413450495587,Dallé,residentiel,NEANT/Naturel,Achevé fonctionnel,Materiaux industriels,Niveau 2,,,,,,True,True,,Zone résidentielles 2,limite UL,2024-11-03 15:19:55,AWUDI Koffi Fabrice,2024-11-03 15:19:55,,,,,,,,,,,,,,,,True,"MULTIPOLYGON (((302532.3797270553 682138.761941579, 302534.3675886185 682138.6032154756, 302535.77365910576 682137.7106087543, 302536.6674612677 682137.7861049147, 302539.09255378554 682140.6428115072, 302565.92303539533 682124.3451539753, 302567.2626383792 682125.5964836797, 302569.61975135346 682125.7455708478, 302571.580684575 682124.875635663, 302572.3606970472 682123.2247696935, 302571.96136493445 682121.2638976643, 302571.72334186273 682120.5582992357, 302598.2988045382 682104.3400036853, 302600.46742491506 682095.1103673439, 302590.01568003325 682093.8895308062, 302586.0988018777 682097.1206609866, 302586.7327415742 682098.7667944984, 302585.94852546114 682099.1618607079, 302584.9210329717 682097.2815792828, 302579.6716446667 682101.3805413282, 302580.14690257143 682102.5562758449, 302579.52136852196 682103.4217411358, 302578.49571461574 682102.0908720171, 302573.4785709494 682105.168709125, 302574.34922060726 682107.1280037058, 302573.72158515383 682107.3655693854, 302573.32908314094 682107.445371408, 302572.4592215263 682105.7215392272, 302567.2079957743 682109.2710905926, 302567.7633830877 682110.9174869433, 302567.1349595777 682110.9195903124, 302565.8733838829 682109.5110226634, 302564.1494224665 682110.7726064725, 302563.55896187876 682110.3821410767, 302563.22222209955 682109.5198963647, 302561.80570772325 682108.7593762352, 302560.7451773019 682108.7433039034, 302560.1170164582 682108.82389481, 302559.5287888659 682109.100572932, 302558.92066032917 682109.2988293248, 302558.6092070421 682110.1239994864, 302558.257098046 682110.537241902, 302558.3165381812 682110.6940196417, 302558.39771826507 682111.4786314084, 302558.4589974002 682112.1848214376, 302558.46004825836 682112.4987713175, 302558.6185005501 682112.9004937337, 302559.3476110195 682113.6436925632, 302559.34807076876 682113.7810456352, 302557.82003217656 682114.9046193007, 302559.08203494886 682116.440728941, 302558.10183092253 682116.954184186, 302557.9250868204 682116.954775792, 302556.84012368333 682115.5063729666, 302551.6663358574 682118.7220915509, 302552.5164613342 682120.4165564871, 302551.8110613062 682120.8898478296, 302550.78488136677 682119.4020041459, 302545.1797098365 682122.8153883998, 302546.0100330605 682124.4608643482, 302545.3835144696 682125.0320021863, 302544.4933569499 682123.1120172966, 302539.1241075572 682126.6031009415, 302539.91505596007 682128.2192755186, 302538.9155424356 682128.8309062769, 302538.046008233 682127.2051837392, 302532.6370560529 682130.5688575249, 302533.7811315048 682132.0759283835, 302532.9397092735 682132.9813613831, 302533.3942132058 682133.8235896851, 302531.0451798976 682136.0879940687, 302531.00646180374 682136.2549114554, 302531.0284648776 682136.9612330393, 302531.0314209364 682137.8442172004, 302531.1310572674 682138.2755696208, 302531.8786894608 682138.6851305888, 302532.3797270553 682138.761941579)))"
cité C,1.214926,6.168621,Campus Sud,970.2001229341756,Dallé,residentiel,NEANT/Naturel,Achevé fonctionnel,Materiaux industriels,Niveau 2,,,,,,True,True,,Zone résidentielles 2,limite UL,2024-11-03 15:19:55,AWUDI Koffi Fabrice,2024-11-03 15:19:55,,,,,,,,,,,,,,,,True,"MULTIPOLYGON (((302440.95155145065 682191.1255235951, 302446.9159444743 682201.1520601386, 302476.97781533346 682182.1945401469, 302477.5309711021 682183.1737924465, 302478.9084063503 682183.9933075305, 302480.5965046267 682183.7521891068, 302481.81236569956 682183.2379428591, 302482.43710889854 682182.1370133504, 302481.7250075608 682180.6088746449, 302481.29086397775 682179.9824214805, 302481.0531025885 682179.3553106602, 302481.91652716894 682179.1561982268, 302514.3293541573 682158.503331319, 302508.01414511155 682149.2726595699, 302474.2065065573 682169.7830344291, 302473.5795290616 682170.2168202462, 302472.2991674418 682169.0634044457, 302471.41314738186 682168.379598329, 302470.3712700525 682168.0691340121, 302469.605379277 682168.0716989733, 302468.7227762848 682168.4082304542, 302467.72490680846 682169.510409747, 302467.62954140606 682170.3544792806, 302467.710591455 682171.0998475094, 302467.9282219262 682171.5798600205, 302468.24460208695 682172.226329635, 302468.65851621627 682172.6762516398, 302468.639272279 682172.7940486673, 302440.95155145065 682191.1255235951)))"
nan,1.216921,6.165615,,785.411056366084,,nan,,,nan,nan,,,,,,True,,,Zone résidentielles 2,limite UL,2024-11-03 15:19:55,nan,2024-11-03 15:19:55,,,,,,,,,,,,,,,,True,"MULTIPOLYGON (((302681.1049783776 681852.8663658004, 302711.98655280087 681856.6676238474, 302713.03294617997 681848.1519720006, 302715.1818617688 681848.2001071329, 302715.6784957274 681841.6595712261, 302714.0851913594 681841.3864630854, 302714.76585507474 681830.644554833, 302682.0292708902 681826.7763657406, 302681.21195737284 681837.8747438705, 302676.41942118085 681837.6553043653, 302676.04142651975 681845.690189437, 302680.5325349988 681846.1182866308, 302679.9261548874 681852.7133310384, 302681.1049783776 681852.8663658004), (302687.69698508084 681843.0856362333, 302688.3514002817 681836.4010091074, 302706.43295479764 681838.7669149988, 302705.6584447675 681845.2530607706, 302687.69698508084 681843.0856362333)))"
nan,1.209206,6.186223,,605.391866403624,,nan,,,nan,nan,,,,,,True,,,Zone résidentielles 1,limite UL,2024-11-03 15:19:55,nan,2024-11-03 15:19:55,,,,,,,,,,,,,,,,True,"MULTIPOLYGON (((301865.2261673468 684139.3439703791, 301870.0938414936 684129.1585247072, 301865.88077406125 684127.0688643715, 301867.994821507 684122.859073855, 301836.869979441 684108.4208891708, 301830.18229240016 684123.2686658958, 301865.2261673468 684139.3439703791)))"
nan,1.216951,6.165348,,767.3376747823323,,nan,,,nan,nan,,,,,,True,,,Zone résidentielles 2,limite UL,2024-11-03 15:19:55,nan,2024-11-03 15:19:55,,,,,,,,,,,,,,,,True,"MULTIPOLYGON (((302684.95709729707 681797.5507935461, 302684.3448839921 681804.9512551079, 302684.4238901847 681806.3386926571, 302680.1820119679 681806.3528758268, 302678.79770796956 681815.2266817106, 302683.12233780255 681816.4680342476, 302682.25289865164 681822.2212175163, 302716.02658940403 681826.7024747249, 302717.0305163175 681817.3914370041, 302719.65932984295 681817.8003011161, 302720.35508820193 681811.572966112, 302717.5112257038 681811.13358956, 302718.73764180625 681802.0248492993, 302684.95709729707 681797.5507935461), (302691.75388148276 681806.258993224, 302709.9552714452 681808.7438314087, 302708.86414652935 681815.7879051962, 302690.94155702717 681813.3419122145, 302691.75388148276 681806.258993224)))"
Bloc sportif &Culturel,1.215189,6.168113,Campus Sud,270.8589767409856,Dallé,pedagogique,Ventilation,Achevé fonctionnel,Materiaux industriels,Rez-de-chaussé,,,,,,True,True,,Zone résidentielles 2,limite UL,2024-11-03 15:19:55,AWUDI Koffi Fabrice,2024-11-03 15:19:55,,,,,,,,,,,,,,,,True,"MULTIPOLYGON (((302503.10207357566 682130.9424497779, 302508.74579673517 682127.3130884956, 302505.62469172594 682121.8685967247, 302509.3482703107 682119.560344929, 302512.82391433377 682125.3176032809, 302518.31066395895 682121.728012987, 302509.07063225884 682107.0227576139, 302503.03466753644 682110.8104082895, 302504.0628199101 682112.8869077086, 302500.9272712603 682114.8596153421, 302499.42753820727 682112.7062065349, 302493.90243154473 682116.5706364041, 302503.10207357566 682130.9424497779)))"
Magasin,1.215459,6.168053,Campus Sud,138.0022060618342,Tulle,residentiel,NEANT/Naturel,Achevé fonctionnel,Materiaux industriels,Rez-de-chaussé,,,,,,True,,,Zone résidentielles 2,limite UL,2024-11-03 15:19:55,AWUDI Koffi Fabrice,2024-11-03 15:19:55,,,,,,,,,,,,,,,,,"MULTIPOLYGON (((302525.6541815916 682121.3502301361, 302548.07460659917 682107.6182014329, 302545.622913201 682102.6816418971, 302523.12629819894 682117.1203214659, 302525.6541815916 682121.3502301361)))"
Chambre TDE Cité B,1.216009,6.167707,Campus Sud,33.07247118355858,Dallé,residentiel,NEANT/Naturel,Achevé fonctionnel,Materiaux industriels,Niveau 1 ,,,,,,True,,,Zone résidentielles 2,limite UL,2024-11-03 15:19:55,AWUDI Koffi Fabrice,2024-11-03 15:19:55,,,,,,,,,,,,,,,,True,"MULTIPOLYGON (((302595.57656611793 682077.2412052536, 302595.8134726297 682077.6132320528, 302600.47765657597 682074.6935556728, 302597.47583412135 682069.6803474856, 302592.57599084475 682072.600812645, 302595.57656611793 682077.2412052536)))"
Laverie cité B,1.215746,6.167897,Campus Sud,91.88124139554185,Tôle Aluminium,residentiel,NEANT/Naturel,Achevé fonctionnel,Materiaux industriels,Rez-de-chaussé,,,,,,True,,,Zone résidentielles 2,limite UL,2024-11-03 15:19:55,AWUDI Koffi Fabrice,2024-11-03 15:19:55,,,,,,,,,,,,,,,,True,"MULTIPOLYGON (((302563.13463965233 682100.9551486112, 302575.5993410731 682093.37854871, 302572.16494992626 682088.2098124755, 302558.91734490346 682096.5739168569, 302563.13463965233 682100.9551486112)))"
Espace de Blanchiment  Cité A,1.217288,6.168599,Campus Sud,99.52371599723142,,residentiel,NEANT/Naturel,Achevé fonctionnel,Materiaux industriels,Rez-de-chaussé,,,,,,,,,Zone résidentielles 2,limite UL,2024-11-03 15:19:55,AWUDI Koffi Fabrice,2024-11-03 15:19:55,,,,,,,,,,,,,,,,True,"MULTIPOLYGON (((302745.6577715901 682172.4359942253, 302733.78017716354 682163.7993110394, 302732.6175342555 682173.0831930628, 302742.14363315294 682178.648320918, 302745.6577715901 682172.4359942253)))"
chambre d'analyse COUL,1.217351,6.168456,Campus Sud,152.0144062624814,Tôle Aluminium,pedagogique,Climatisation,Achevé fonctionnel,Materiaux industriels,Rez-de-chaussé,,,,,,True,,,Zone résidentielles 2,limite UL,2024-11-03 15:19:55,AWUDI Koffi Fabrice,2024-11-03 15:19:55,,,,,,,,,,,,,,,,True,"MULTIPOLYGON (((302751.89157082315 682165.004515208, 302756.11439262965 682159.2999935319, 302739.02630427806 682146.7597712658, 302734.68591577874 682152.5431758332, 302751.89157082315 682165.004515208)))"
Espace test de vue COUL,1.217098,6.168245,Campus Sud,123.34818654001161,Tôle Aluminium,administratif,NEANT/Naturel,Achevé fonctionnel,Materiaux industriels,Rez-de-chaussé,,,,,,True,,,Zone résidentielles 2,limite UL,2024-11-03 15:19:55,AWUDI Koffi Fabrice,2024-11-03 15:19:55,,,,,,,,,,,,,,,,True,"MULTIPOLYGON (((302713.2690910206 682142.1516668132, 302719.3261865714 682142.9715896898, 302721.39401884505 682123.0353343209, 302714.952158915 682122.8999029509, 302713.2690910206 682142.1516668132)))"
centre des oeuvres universitaire de Lomé,1.21707,6.168721,Campus Sud,2580.0411386329656,Dallé,administratif,Climatisation,Achevé fonctionnel,Materiaux industriels,Niveau 2,,,,,,True,,,Zone résidentielles 2,limite UL,2024-11-03 15:19:55,AWUDI Koffi Fabrice,2024-11-03 15:19:55,,,,,,,,,,,,,,,,True,"MULTIPOLYGON (((302725.98950639775 682154.7045561016, 302714.1819060334 682147.3661495718, 302706.6869084796 682161.1659143715, 302705.1926984277 682160.6607385332, 302701.1713822946 682167.8951130273, 302701.01493303746 682168.0918571005, 302697.1264375647 682168.0656203951, 302697.24715485144 682168.9285878465, 302689.23266740947 682168.3274916083, 302689.2133691697 682162.5586661093, 302676.87945960724 682162.2663521043, 302668.24381531804 682175.5793890937, 302668.99229908164 682176.2440355397, 302658.2819036102 682191.6243349612, 302670.6448910113 682200.6091261664, 302683.31431460206 682183.7898639881, 302685.1210289297 682183.7838197361, 302686.53353511787 682183.347408663, 302686.80505648203 682182.3261523971, 302700.0807414396 682182.3602298759, 302711.8569123758 682203.7873857272, 302722.1129041009 682205.2051129533, 302732.5612076471 682205.4056301765, 302739.436016919 682205.8143217711, 302747.85405645537 682221.3857126889, 302749.0746424361 682222.2842455975, 302762.3651796056 682215.0188753608, 302752.9965708058 682197.0763919336, 302756.4760255773 682192.2377266581, 302755.1749178837 682190.75080068, 302762.8375234605 682180.0900144798, 302750.71565721 682172.7330322514, 302743.68331168406 682183.9411304488, 302743.1322610326 682183.5897761442, 302737.9356707165 682191.7306932234, 302732.3572429671 682191.3961536383, 302732.359605592 682192.102540293, 302722.85511431965 682192.2520628211, 302714.196484402 682175.2098217914, 302725.98950639775 682154.7045561016)))"
nan,1.218374,6.169187,,72.11584164601338,,nan,,,nan,nan,,,,,,True,,,"Sciences Juridiques, Lettres et Arts 2",limite UL,2024-11-03 15:19:55,nan,2024-11-03 15:19:55,,,,,,,,,,,,,,,,True,"MULTIPOLYGON (((302862.47318770416 682241.841101465, 302865.1651516262 682236.4164149426, 302858.4374865381 682233.0246651538, 302858.86322952574 682231.1395243425, 302856.14909586014 682229.9320292991, 302852.9533615004 682237.3990945977, 302862.47318770416 682241.841101465)))"
nan,1.218209,6.169242,,167.38357431995757,,nan,,,nan,nan,,,,,,True,,,"Sciences Juridiques, Lettres et Arts 2",limite UL,2024-11-03 15:19:55,nan,2024-11-03 15:19:55,,,,,,,,,,,,,,,,True,"MULTIPOLYGON (((302837.1921384054 682234.0375453751, 302831.98666431534 682245.3964996643, 302844.142007093 682251.02663821, 302849.30787809374 682239.5697075961, 302837.1921384054 682234.0375453751)))"
nan,1.218156,6.169403,,96.83931908082398,,nan,,,nan,nan,,,,,,True,,,"Sciences Juridiques, Lettres et Arts 2",limite UL,2024-11-03 15:19:55,nan,2024-11-03 15:19:55,,,,,,,,,,,,,,,,True,"MULTIPOLYGON (((302828.53419810504 682264.181450143, 302841.0639989044 682264.3357800693, 302841.156113073 682256.643624218, 302829.0974953142 682256.4484743444, 302828.58703433 682256.4894251167, 302828.53419810504 682264.181450143)))"
