nom,longitude,latitude,fonctionnel,secteur,energie,date_creation,zone,loisir,route,retenu_eau,trame_verte,batiment,limite,date_collecte,agent_collecteur,info_modifier_le,geometry
Lampe 0,1.215275,6.175647,True,Campus Sud,Energie Hydrolique,,Espace administratif et pédagogique 2,,,,,,limite UL,2024-11-03 18:45:00,saguintaah,2024-11-03 18:45:00,POINT (302518.2117619113 682951.9997682377)
Lampe 1,1.215188,6.175332,True,Campus Sud,Energie solaire,,Espace administratif et pédagogique 1,,,,,,limite UL,2024-11-03 18:45:00,ADIKA Afi Cathérine,2024-11-03 18:45:00,POINT (302508.4883692059 682917.1500999071)
Lampe 2,1.215051,6.175001,True,Campus Sud,Energie solaire,,Espace administratif et pédagogique 1,,,,,,limite UL,2024-11-03 18:45:00,ADIKA Afi Cathérine,2024-11-03 18:45:00,POINT (302493.1597565572 682880.6525240376)
Lampe 3,1.215169,6.174729,True,Campus Sud,Energie solaire,,Espace administratif et pédagogique 1,,,,,,limite UL,2024-11-03 18:45:00,ADIKA Afi Cathérine,2024-11-03 18:45:00,POINT (302506.1298333958 682850.5101020725)
Lampe 4,1.215785,6.17385,True,Campus Sud,Energie solaire,,Espace administratif et pédagogique 1,,,,,,limite UL,2024-11-03 18:45:00,ADIKA Afi Cathérine,2024-11-03 18:45:00,POINT (302573.9792783224 682753.0747227984)
Lampe 5,1.215914,6.173548,True,Campus Sud,Energie solaire,,Espace administratif et pédagogique 1,,,,,,limite UL,2024-11-03 18:45:00,ADIKA Afi Cathérine,2024-11-03 18:45:00,POINT (302588.14492444636 682719.6447148996)
Lampe 6,1.21609,6.173424,True,Campus Sud,Energie solaire,,Aires sportives 1,,,,,,limite UL,2024-11-03 18:45:00,AWOUSSI Daniel,2024-11-03 18:45:00,POINT (302607.61764220335 682705.8724135882)
Lampe 7,1.216335,6.17329,True,Campus Sud,Energie solaire,,Aires sportives 1,,,,,,limite UL,2024-11-03 18:45:00,AWOUSSI Daniel,2024-11-03 18:45:00,POINT (302634.66293819016 682690.939742961)
Lampe 8,1.216558,6.173175,True,Campus Sud,Energie solaire,,Aires sportives 1,,,,,,limite UL,2024-11-03 18:45:00,AWOUSSI Daniel,2024-11-03 18:45:00,POINT (302659.2807161444 682678.1038298651)
Lampe 9,1.216818,6.173052,True,Campus Sud,Energie solaire,,Aires sportives 1,,,,,,limite UL,2024-11-03 18:45:00,AWOUSSI Daniel,2024-11-03 18:45:00,POINT (302688.0450976454 682664.4458012274)
Lampe 10,1.217042,6.172931,True,Campus Sud,Energie solaire,,Aires sportives 1,,,,,,limite UL,2024-11-03 18:45:00,AWOUSSI Daniel,2024-11-03 18:45:00,POINT (302712.7986244835 682650.9995291468)
Lampe 11,1.216645,6.172536,True,Campus Sud,Energie solaire,,Aires sportives 1,,,,,,limite UL,2024-11-03 18:45:00,AWOUSSI Daniel,2024-11-03 18:45:00,POINT (302668.7021062618 682607.4575981632)
Lampe 12,1.217293,6.17281,True,Campus Sud,Energie solaire,,Aires sportives 1,,,,,,limite UL,2024-11-03 18:45:00,AWOUSSI Daniel,2024-11-03 18:45:00,POINT (302740.497328195 682637.4814798358)
Lampe 13,1.217543,6.172704,True,Campus Sud,Energie solaire,,Aires sportives 1,,,,,,limite UL,2024-11-03 18:45:00,AWOUSSI Daniel,2024-11-03 18:45:00,POINT (302768.2015706325 682625.6157441422)
Lampe 14,1.217775,6.172577,True,Campus Sud,Energie solaire,,Grandes aires de stationnement 2,,,,,,limite UL,2024-11-03 18:45:00,ALFA-GANI Cissé Bilal ,2024-11-03 18:45:00,POINT (302793.85077071004 682611.5615551452)
Lampe 15,1.218039,6.17247,True,Campus Sud,Energie solaire,,Grandes aires de stationnement 2,,,,,,limite UL,2024-11-03 18:45:00,ALFA-GANI Cissé Bilal ,2024-11-03 18:45:00,POINT (302822.97872222064 682599.642182781)
Lampe 16,1.21827,6.172345,True,Campus Sud,Energie solaire,,Grandes aires de stationnement 2,,,,,,limite UL,2024-11-03 18:45:00,ALFA-GANI Cissé Bilal ,2024-11-03 18:45:00,POINT (302848.5469329743 682585.6416239643)
Lampe 17,1.21847,6.172238,True,Campus Sud,Energie solaire,,Grandes aires de stationnement 2,,,,,,limite UL,2024-11-03 18:45:00,ALFA-GANI Cissé Bilal ,2024-11-03 18:45:00,POINT (302870.61299943575 682573.7998298489)
Lampe 18,1.218737,6.172111,True,Campus Sud,Energie solaire,,Grandes aires de stationnement 2,,,,,,limite UL,2024-11-03 18:45:00,ALFA-GANI Cissé Bilal ,2024-11-03 18:45:00,POINT (302900.06945683423 682559.6221759589)
Lampe 19,1.218932,6.17202,True,Campus Sud,Energie solaire,,Grandes aires de stationnement 2,,,,,,limite UL,2024-11-03 18:45:00,ALFA-GANI Cissé Bilal ,2024-11-03 18:45:00,POINT (302921.6509733043 682549.5576109419)
Lampe 20,1.219242,6.171849,True,Campus Sud,Energie solaire,,Grandes aires de stationnement 2,,,,,,limite UL,2024-11-03 18:45:00,ALFA-GANI Cissé Bilal ,2024-11-03 18:45:00,POINT (302955.93714694673 682530.5143796183)
Lampe 21,1.218849,6.171721,True,Campus Sud,Energie solaire,,Aires sportives 1,,,,,,limite UL,2024-11-03 18:45:01,AWOUSSI Daniel,2024-11-03 18:45:01,POINT (302912.3776755992 682516.4994081062)
Lampe 22,1.218795,6.171374,True,Campus Sud,Energie solaire,,Aires sportives 1,,,,,,limite UL,2024-11-03 18:45:01,AWOUSSI Daniel,2024-11-03 18:45:01,POINT (302906.2864559352 682478.078583486)
Lampe 23,1.218713,6.171141,True,Campus Sud,Energie solaire,,Aires sportives 1,,,,,,limite UL,2024-11-03 18:45:01,AWOUSSI Daniel,2024-11-03 18:45:01,POINT (302897.1349786407 682452.3213532638)
Lampe 24,1.218597,6.170809,True,Campus Sud,Energie solaire,,Aires sportives 1,,,,,,limite UL,2024-11-03 18:45:01,AWOUSSI Daniel,2024-11-03 18:45:01,POINT (302884.1604710759 682415.6831310857)
Lampe 25,1.218477,6.170551,True,Campus Sud,Energie solaire,,Aires sportives 1,,,,,,limite UL,2024-11-03 18:45:01,AWOUSSI Daniel,2024-11-03 18:45:01,POINT (302870.7494355998 682387.2006602483)
