nom,longitude,latitude,fonctionnel,secteur,usage,image,date_creation,zone,limite,date_collecte,agent_collecteur,info_modifier_le,geometry
kiosque 1,1.216158,6.171172,True,,,,,,,2024-02-29 23:11:46,,2024-02-29 23:11:46,POINT (302614.34093345527 682456.708123664)
kiosque 2,1.216188,6.170676,True,,,,,,,2024-02-29 23:11:46,,2024-02-29 23:11:46,POINT (302617.4458277676 682401.8483411672)
kiosque 3,1.21605,6.168913,True,,,,,,,2024-02-29 23:11:46,,2024-02-29 23:11:46,POINT (302601.54170778196 682206.9680449418)
kiosque 4,1.216049,6.168854,True,,,,,,,2024-02-29 23:11:46,,2024-02-29 23:11:46,POINT (302601.3768889734 682200.3858737929)
kiosque 5,1.216003,6.168761,True,,,,,,,2024-02-29 23:11:46,,2024-02-29 23:11:46,POINT (302596.2842003688 682190.1660768709)
kiosque 6,1.216036,6.1687,True,,,,,,,2024-02-29 23:11:46,,2024-02-29 23:11:46,POINT (302599.90210593125 682183.3976081879)
kiosque 7,1.214443,6.169242,True,,,,,,,2024-02-29 23:11:46,,2024-02-29 23:11:46,POINT (302423.7121620705 682243.9709002556)
kiosque 8,1.214327,6.169761,True,,,,,,,2024-02-29 23:11:46,,2024-02-29 23:11:46,POINT (302411.1111810201 682301.4084984533)
kiosque 9,1.214428,6.169757,True,,,,,,,2024-02-29 23:11:46,,2024-02-29 23:11:46,POINT (302422.3276439096 682300.856641408)
kiosque 10,1.212875,6.171373,True,,,,,,,2024-02-29 23:11:46,,2024-02-29 23:11:46,POINT (302250.9928885882 682480.2287183853)
kiosque 11,1.212832,6.171407,True,,,,,,,2024-02-29 23:11:47,,2024-02-29 23:11:47,POINT (302246.2954923761 682483.9262498054)
kiosque 12,1.212253,6.171537,True,,,,,,,2024-02-29 23:11:47,,2024-02-29 23:11:47,POINT (302182.2094714787 682498.577485755)
kiosque 13,1.212067,6.173877,True,,,,,,,2024-02-29 23:11:47,,2024-02-29 23:11:47,POINT (302162.52899522556 682757.4373712946)
kiosque 14,1.212053,6.173869,True,,,,,,,2024-02-29 23:11:47,,2024-02-29 23:11:47,POINT (302160.9177968602 682756.5734872244)
kiosque 15,1.214426,6.175419,True,,,,,,,2024-02-29 23:11:47,,2024-02-29 23:11:47,POINT (302424.16980440175 682927.0392504942)
kiosque 16,1.214418,6.17553,True,,,,,,,2024-02-29 23:11:47,,2024-02-29 23:11:47,POINT (302423.3610611507 682939.3657804515)
kiosque 17,1.215146,6.175151,True,,,,,,,2024-02-29 23:11:47,,2024-02-29 23:11:47,POINT (302503.7770346853 682897.1976220246)
kiosque 18,1.215016,6.175832,True,,,,,,,2024-02-29 23:11:47,,2024-02-29 23:11:47,POINT (302489.593671253 682972.5218481591)
kiosque 19,1.213573,6.178851,True,,,,,,,2024-02-29 23:11:47,,2024-02-29 23:11:47,POINT (302331.08138799237 683306.9602335813)
kiosque 20,1.213575,6.17885,True,,,,,,,2024-02-29 23:11:47,,2024-02-29 23:11:47,POINT (302331.2481781716 683306.8568184483)
kiosque 21,1.213575,6.17885,True,,,,,,,2024-02-29 23:11:47,,2024-02-29 23:11:47,POINT (302331.2481781716 683306.8568184483)
kiosque 22,1.213688,6.178843,True,,,,,,,2024-02-29 23:11:47,,2024-02-29 23:11:47,POINT (302343.7897158293 683306.0770360815)
kiosque 23,1.213787,6.178882,True,,,,,,,2024-02-29 23:11:47,,2024-02-29 23:11:47,POINT (302354.68878284225 683310.2807404709)
kiosque 24,1.213712,6.179087,True,,,,,,,2024-02-29 23:11:47,,2024-02-29 23:11:47,POINT (302346.4634597441 683332.9807360569)
kiosque 25,1.213668,6.179373,True,,,,,,,2024-02-29 23:11:47,,2024-02-29 23:11:47,POINT (302341.7683547146 683364.7035532504)
kiosque 26,1.213727,6.179448,True,,,,,,,2024-02-29 23:11:47,,2024-02-29 23:11:47,POINT (302348.2580151678 683372.9732247427)
kiosque 27,1.213727,6.179448,True,,,,,,,2024-02-29 23:11:47,,2024-02-29 23:11:47,POINT (302348.2580151678 683372.9732247427)
kiosque 28,1.21355,6.179065,True,,,,,,,2024-02-29 23:11:47,,2024-02-29 23:11:47,POINT (302328.5608598516 683330.6441978151)
kiosque 29,1.209058,6.18362,True,,,,,,,2024-02-29 23:11:47,,2024-02-29 23:11:47,POINT (301833.01746151183 683836.072835626)
