nom,longitude,latitude,fonctionnel,secteur,forme,categorie,type,couleur,image,date_creation,zone,route,parking,limite,date_collecte,agent_collecteur,info_modifier_le,geometry
panneau 21,1.212804,6.173248,True,Campus Sud,Carré,Informationel,indication,,,,,,,,2024-07-30 12:12:06,,2024-07-30 12:12:06,POINT (302243.7974224073 682687.5448705947)
panneau 22,1.21299,6.173059,True,Campus Sud,Carré,Informationel,indication,,,,,,,,2024-07-30 12:12:06,,2024-07-30 12:12:06,POINT (302264.33738058724 682666.6262035081)
panneau 1,1.214921,6.17464,True,Campus Sud,Cercle,Routier,Interdiction,,,,,,,,2024-07-30 12:12:05,,2024-07-30 12:12:05,POINT (302478.6887789179 682840.7987737203)
panneau 2,1.214793,6.174711,True,Campus Sud,Rectangle,Informationel,indication,,,,,,,,2024-07-30 12:12:05,,2024-07-30 12:12:05,POINT (302464.53594684205 682848.6355592869)
panneau 3,1.214577,6.174968,True,Campus Sud,Rectangle,Informationel,indication,,,,,,,,2024-07-30 12:12:05,,2024-07-30 12:12:05,POINT (302440.72183155525 682877.1332821315)
panneau 4,1.214376,6.174658,True,Campus Sud,Cercle,Routier,Interdiction,,,,,,,,2024-07-30 12:12:05,,2024-07-30 12:12:05,POINT (302418.3333081108 682842.8890163806)
panneau 5,1.214251,6.174608,True,Campus Sud,Cercle,Routier,Interdiction,,,,,,,,2024-07-30 12:12:05,,2024-07-30 12:12:05,POINT (302404.5132902628 682837.4154653955)
panneau 6,1.213553,6.17461,True,,,,,,,,,,,,2024-07-30 12:12:05,,2024-07-30 12:12:05,POINT (302327.2295853733 682837.9721861507)
panneau 8,1.213435,6.175291,True,Campus Sud,Cercle,Routier,Danger,,,,,,,,2024-07-30 12:12:05,,2024-07-30 12:12:05,POINT (302314.4179599127 682913.3383628778)
panneau 9,1.213624,6.175269,True,Campus Sud,Cercle,Routier,Interdiction,,,,,,,,2024-07-30 12:12:05,,2024-07-30 12:12:05,POINT (302335.3526480282 682910.7940693323)
panneau 10,1.213669,6.174954,True,Campus Sud,Cercle,Routier,Interdiction,,,,,,,,2024-07-30 12:12:05,,2024-07-30 12:12:05,POINT (302340.1958181121 682875.9939612979)
panneau 11,1.213399,6.1746,True,Campus Sud,Cercle,Routier,Interdiction,,,,,,,,2024-07-30 12:12:05,,2024-07-30 12:12:05,POINT (302310.1535220371 682836.9091264749)
panneau 12,1.212619,6.174516,True,Campus Sud,Cercle,Routier,Interdiction,,,,,,,,2024-07-30 12:12:05,,2024-07-30 12:12:05,POINT (302223.81771821476 682827.9009530662)
panneau 13,1.212715,6.175413,True,Campus Sud,Rectangle,Informationel,Obligation,,,,,,,,2024-07-30 12:12:05,,2024-07-30 12:12:05,POINT (302234.7411217132 682927.0466172337)
panneau 14,1.21197,6.174833,True,Campus Sud,Rectangle,Informationel,Obligation,,,,,,,,2024-07-30 12:12:05,,2024-07-30 12:12:05,POINT (302152.13061559905 682863.1599667073)
panneau 15,1.212082,6.174522,True,,,,,,,,,,,,2024-07-30 12:12:05,,2024-07-30 12:12:05,POINT (302164.4410770655 682828.8003560753)
panneau 16,1.212238,6.173902,True,,,,,,,,,,,,2024-07-30 12:12:05,,2024-07-30 12:12:05,POINT (302181.40043792955 682760.1433713139)
panneau 17,1.212213,6.173878,True,,,,,,,,,,,,2024-07-30 12:12:05,,2024-07-30 12:12:05,POINT (302178.6739616359 682757.437365479)
panneau 18,1.212423,6.172988,True,Campus Sud,Rectangle,Informationel,indication,,,,,,,,2024-07-30 12:12:05,,2024-07-30 12:12:05,POINT (302201.5867613336 682658.935707931)
panneau 19,1.212386,6.173185,True,,,,,,,,,,,,2024-07-30 12:12:06,,2024-07-30 12:12:06,POINT (302197.4838163297 682680.783549094)
panneau 20,1.212565,6.173046,True,Campus Sud,Cercle,Routier,Danger,,,,,,,,2024-07-30 12:12:06,,2024-07-30 12:12:06,POINT (302217.2970980932 682665.307569196)
panneau 24,1.213957,6.173239,True,Campus Sud,Hec/Hex/gone,Routier,indication,,,,,,,,2024-07-30 12:12:06,,2024-07-30 12:12:06,POINT (302371.47119460965 682686.1349987112)
panneau 26,1.214294,6.173267,True,Campus Sud,Cercle,Routier,Interdiction,,,,,,,,2024-07-30 12:12:06,,2024-07-30 12:12:06,POINT (302408.7752872524 682689.1554121606)
panneau 27,1.214251,6.173256,True,Campus Sud,Cercle,Routier,Interdiction,,,,,,,,2024-07-30 12:12:06,,2024-07-30 12:12:06,POINT (302404.0441053867 682687.9142924196)
panneau 28,1.214245,6.173297,True,Campus Sud,Hec/Hex/gone,Informationel,indication,,,,,,,,2024-07-30 12:12:06,,2024-07-30 12:12:06,POINT (302403.29995533614 682692.4390965459)
panneau 29,1.214229,6.173393,True,Campus Sud,Hec/Hex/gone,Informationel,indication,,,,,,,,2024-07-30 12:12:06,,2024-07-30 12:12:06,POINT (302401.6487663061 682703.0862710369)
panneau 29,1.214229,6.173488,True,Campus Sud,Hec/Hex/gone,Informationel,indication,,,,,,,,2024-07-30 12:12:06,,2024-07-30 12:12:06,POINT (302401.63099315367 682713.6317498215)
panneau ,1.214898,6.173211,True,Campus Sud,Carré,Routier,indication,,,,,,,,2024-07-30 12:12:06,,2024-07-30 12:12:06,POINT (302475.5912275837 682682.7533955376)
panneau 34,1.214805,6.173369,True,Campus Sud,Cercle,Routier,Interdiction,,,,,,,,2024-07-30 12:12:06,,2024-07-30 12:12:06,POINT (302465.3807401752 682700.1908884188)
panneau 35,1.214917,6.173213,True,Campus Sud,Cercle,Routier,indication,,,,,,,,2024-07-30 12:12:06,,2024-07-30 12:12:06,POINT (302477.6919926792 682682.9268025156)
panneau 36,1.21506,6.173336,True,Campus Sud,Cercle,Routier,Interdiction,,,,,,,,2024-07-30 12:12:06,,2024-07-30 12:12:06,POINT (302493.54790691595 682696.4304863497)
Rue Messanvi Foli,1.215126,6.173339,True,Campus Sud,Rectangle,Informationel,indication,,,,,,,,2024-07-30 12:12:06,,2024-07-30 12:12:06,POINT (302500.84208324825 682696.8024276195)
panneau 38,1.215203,6.173339,True,Campus Sud,Cercle,Routier,Interdiction,,,,,,,,2024-07-30 12:12:06,,2024-07-30 12:12:06,POINT (302509.38256716705 682696.7543340643)
panneau 39,1.215227,6.173164,True,,,,,,,,,,,,2024-07-30 12:12:06,,2024-07-30 12:12:06,POINT (302512.0383429325 682677.4371297711)
panneau 40,1.214179,6.17157,True,,,,,,,,,,,,2024-07-30 12:12:06,,2024-07-30 12:12:06,POINT (302395.36319386936 682501.4691994194)
panneau 43,1.21287,6.16996,True,Campus Sud,Rectangle,Informationel,indication,,,,,,,,2024-07-30 12:12:06,,2024-07-30 12:12:06,POINT (302249.87087908905 682323.904698441)
panneau 45,1.21339,6.17042,True,,,,,,,,,,,,2024-07-30 12:12:06,,2024-07-30 12:12:06,POINT (302307.667780469 682374.6319702818)
panneau 46,1.213494,6.170275,True,,,,,,,,,,,,2024-07-30 12:12:06,,2024-07-30 12:12:06,POINT (302319.0832709111 682358.5018370806)
panneau 47,1.213416,6.170123,True,,,,,,,,,,,,2024-07-30 12:12:06,,2024-07-30 12:12:06,POINT (302310.4487956066 682341.7698114859)
panneau 48,1.213689,6.170098,True,Campus Sud,Cercle,Routier,Interdiction,,,,,,,,2024-07-30 12:12:06,,2024-07-30 12:12:06,POINT (302340.6522739934 682338.8563650022)
panneau 49,1.214981,6.170861,True,Campus Sud,Rectangle,Informationel,indication,,,,,,,,2024-07-30 12:12:06,,2024-07-30 12:12:06,POINT (302483.89949019655 682422.817918141)
panneau 50,1.215258,6.170954,True,,,,,,,,,,,,2024-07-30 12:12:06,,2024-07-30 12:12:06,POINT (302514.59753784374 682432.9685237049)
panneau 51,1.215331,6.170905,True,,,,,,,,,,,,2024-07-30 12:12:06,,2024-07-30 12:12:06,POINT (302522.7028333736 682427.5542015267)
