nom,longitude,latitude,fonctionnel,secteur,source,image,date_creation,zone,trame_verte,batiment,limite,date_collecte,agent_collecteur,info_modifier_le,geometry
robinet 0,1.21541,6.175741,True,Campus Sud,Tde,,,Espace administratif et pédagogique 2,,,limite UL,2024-11-03 20:17:28,ACHIANGBON Ablavi Sarra ,2024-11-03 20:17:28,POINT (302533.18032091507 682962.3213709225)
robinet 1,1.214963,6.175563,True,Campus Sud,Tde,,,Espace administratif et pédagogique 2,,,limite UL,2024-11-03 20:17:28,ACHIANGBON Ablavi Sarra ,2024-11-03 20:17:28,POINT (302483.6709794479 682942.8674468199)
robinet 2,1.213834,6.17549,True,Campus Sud,Tde,,,Sciences et Technologies,,,limite UL,2024-11-03 20:17:29,Abel ,2024-11-03 20:17:29,POINT (302358.69199239806 682935.1311614142)
robinet 3,1.213846,6.17507,True,Campus Sud,Tde,,,Sciences et Technologies,,,limite UL,2024-11-03 20:17:29,Abel,2024-11-03 20:17:29,POINT (302359.8655061969 682888.6731747475)
robinet 4,1.214367,6.174339,True,Campus Sud,Tde,,,Espace administratif et pédagogique 2,,,limite UL,2024-11-03 20:17:29,ACHIANGBON Ablavi Sarra ,2024-11-03 20:17:29,POINT (302417.24104925897 682807.6365844541)
robinet 5,1.214046,6.173779,True,Campus Sud,Tde,,,Espace administratif et pédagogique 2,,,limite UL,2024-11-03 20:17:29,ACHIANGBON Ablavi Sarra ,2024-11-03 20:17:29,POINT (302381.4899221207 682745.8995887142)
robinet 6,1.213811,6.173707,True,Campus Sud,Tde,,,Espace administratif et pédagogique 2,,,limite UL,2024-11-03 20:17:29,ACHIANGBON Ablavi Sarra ,2024-11-03 20:17:29,POINT (302355.44508452766 682737.9940884195)
robinet 7,1.213652,6.174068,True,Campus Sud,Tde,,,Espace administratif et pédagogique 2,,,limite UL,2024-11-03 20:17:29,ACHIANGBON Ablavi Sarra ,2024-11-03 20:17:29,POINT (302337.9411251759 682777.9982147097)
robinet 8,1.213749,6.174058,True,Campus Sud,Tde,,,Espace administratif et pédagogique 2,,,limite UL,2024-11-03 20:17:29,ACHIANGBON Ablavi Sarra ,2024-11-03 20:17:29,POINT (302348.7478947757 682776.768625689)
robinet 9,1.212138,6.173403,True,Campus Sud,Tde,,,Espace administratif et pédagogique 2,,,limite UL,2024-11-03 20:17:29,NOUTCHET,2024-11-03 20:17:29,POINT (302170.1740089946 682704.9455588473)
robinet 10,1.210695,6.171704,True,Campus Sud,Tde,,,"Sciences Juridiques, Lettres et Arts 1",,,limite UL,2024-11-03 20:17:29,AMIDOU faouziatou,2024-11-03 20:17:29,POINT (302009.8568594924 682517.5572226432)
robinet 11,1.210889,6.171763,True,Campus Sud,Tde,,,"Sciences Juridiques, Lettres et Arts 1",,,limite UL,2024-11-03 20:17:29,AMIDOU faouziatou,2024-11-03 20:17:29,POINT (302031.27139001084 682524.0304444826)
