nom,longitude,latitude,fonctionnel,secteur,image,date_creation,zone,limite,date_collecte,agent_collecteur,info_modifier_le,geometry
poubelle ul0227,1.2135818,6.1769607,True,Campus Sud,,,Sciences et Technologies,limite UL,2024-11-03 20:03:26,AMIDOU MOUDJAHID ,2024-11-03 20:03:26,POINT (302331.29506869486 683097.9002038955)
Poubelle ,1.2145195,6.1764245,True,Campus Sud,,,Sciences et Technologies,limite UL,2024-11-03 20:03:28,AMIDOU MOUDJAHID ,2024-11-03 20:03:28,POINT (302434.8942912831 683038.2560692434)
Poubelle ,1.2140442,6.1768565,True,Campus Sud,,,Sciences et Technologies,limite UL,2024-11-03 20:03:28,AMIDOU MOUDJAHID ,2024-11-03 20:03:28,POINT (302382.43878159754 683086.2077037253)
Poubelle ,1.2121056,6.1775696,True,Campus Sud,,,Sciences et Technologies,limite UL,2024-11-03 20:03:28,AMIDOU MOUDJAHID ,2024-11-03 20:03:28,POINT (302168.1318712904 683165.7905673893)
Poubelle ,1.2121595,6.1775708,True,Campus Sud,,,Sciences et Technologies,limite UL,2024-11-03 20:03:28,AMIDOU MOUDJAHID ,2024-11-03 20:03:28,POINT (302174.1005331207 683165.9098710044)
Poubelle ,1.2122042,6.1775845,True,Campus Sud,,,Sciences et Technologies,limite UL,2024-11-03 20:03:28,AMIDOU MOUDJAHID ,2024-11-03 20:03:28,POINT (302179.05218710913 683167.4095249695)
Poubelle ,1.212207,6.1775828,True,Campus Sud,,,Sciences et Technologies,limite UL,2024-11-03 20:03:28,AMIDOU MOUDJAHID ,2024-11-03 20:03:28,POINT (302179.3559423151 683167.2204896429)
Poubelle ,1.2121641,6.1776307,True,Campus Sud,,,Sciences et Technologies,limite UL,2024-11-03 20:03:28,AMIDOU MOUDJAHID ,2024-11-03 20:03:28,POINT (302174.6286168515 683172.5317570725)
Poubelle ,1.2122306,6.1775981,True,Campus Sud,,,Sciences et Technologies,limite UL,2024-11-03 20:03:28,AMIDOU MOUDJAHID ,2024-11-03 20:03:28,POINT (302181.97934787086 683168.9027075187)
Poubelle ,1.212445,6.1777495,True,Campus Sud,,,Sciences et Technologies,limite UL,2024-11-03 20:03:28,AMIDOU MOUDJAHID ,2024-11-03 20:03:28,POINT (302205.7633328312 683185.5605874362)
Poubelle ,1.212497,6.1778042,True,Campus Sud,,,Sciences et Technologies,limite UL,2024-11-03 20:03:28,AMIDOU MOUDJAHID ,2024-11-03 20:03:28,POINT (302211.54376199655 683191.5941519121)
Poubelle ,1.2125963,6.1778989,True,Campus Sud,,,Sciences et Technologies,limite UL,2024-11-03 20:03:28,AMIDOU MOUDJAHID ,2024-11-03 20:03:28,POINT (302222.56119713373 683202.0295878601)
Poubelle ,1.2126458,6.1778917,True,Campus Sud,,,Sciences et Technologies,limite UL,2024-11-03 20:03:28,AMIDOU MOUDJAHID ,2024-11-03 20:03:28,POINT (302228.04412804486 683201.2170878414)
Poubelle ,1.2127579,6.1779704,True,Campus Sud,,,Sciences et Technologies,limite UL,2024-11-03 20:03:28,AMIDOU MOUDJAHID ,2024-11-03 20:03:28,POINT (302240.4768310824 683209.8804319865)
Poubelle ,1.2132189,6.1779405,True,Campus Sud,,,Sciences et Technologies,limite UL,2024-11-03 20:03:28,AMIDOU MOUDJAHID ,2024-11-03 20:03:28,POINT (302291.4975025194 683206.4066973621)
Poubelle ,1.2127459,6.1777761,True,Campus Sud,,,Sciences et Technologies,limite UL,2024-11-03 20:03:28,AMIDOU MOUDJAHID ,2024-11-03 20:03:28,POINT (302239.07865373814 683188.39611869)
Poubelle ,1.2127453,6.1777763,False,Campus Sud,,,Sciences et Technologies,limite UL,2024-11-03 20:03:28,AMIDOU MOUDJAHID ,2024-11-03 20:03:28,POINT (302239.01674013585 683188.4173400343)
Poubelle ,1.2128034,6.17765,True,Campus Sud,,,Sciences et Technologies,limite UL,2024-11-03 20:03:28,AMIDOU MOUDJAHID ,2024-11-03 20:03:28,POINT (302245.3984953659 683174.4319266473)
Poubelle ,1.2128522,6.1775645,True,Campus Sud,,,Sciences et Technologies,limite UL,2024-11-03 20:03:28,AMIDOU MOUDJAHID ,2024-11-03 20:03:28,POINT (302250.7649030683 683164.9578598274)
Poubelle ,1.2128355,6.1774627,True,Campus Sud,,,Sciences et Technologies,limite UL,2024-11-03 20:03:28,AMIDOU MOUDJAHID ,2024-11-03 20:03:28,POINT (302248.8797318414 683153.6998798959)
Poubelle ,1.2126026,6.1773843,True,Campus Sud,,,Sciences et Technologies,limite UL,2024-11-03 20:03:28,AMIDOU MOUDJAHID ,2024-11-03 20:03:29,POINT (302223.0685081873 683145.1157398801)
Poubelle ,1.2126131,6.1770525,True,Campus Sud,,,Sciences et Technologies,limite UL,2024-11-03 20:03:29,AMIDOU MOUDJAHID ,2024-11-03 20:03:29,POINT (302224.11636503995 683108.4216452728)
Poubelle ,1.212703,6.1769168,True,Campus Sud,,,Sciences et Technologies,limite UL,2024-11-03 20:03:29,AMIDOU MOUDJAHID ,2024-11-03 20:03:29,POINT (302234.00669508404 683093.3793095631)
Poubelle ,1.21241,6.1769511,True,Campus Sud,,,Sciences et Technologies,limite UL,2024-11-03 20:03:29,AMIDOU MOUDJAHID ,2024-11-03 20:03:29,POINT (302201.5961040548 683097.2749832192)
Poubelle ,1.2122958,6.1769525,True,Campus Sud,,,Sciences et Technologies,limite UL,2024-11-03 20:03:29,AMIDOU MOUDJAHID ,2024-11-03 20:03:29,POINT (302188.94853034895 683097.4778226846)
Poubelle ,1.2122845,6.1768792,True,Campus Sud,,,Sciences et Technologies,limite UL,2024-11-03 20:03:29,AMIDOU MOUDJAHID ,2024-11-03 20:03:29,POINT (302187.6782991495 683089.3753224481)
Poubelle ,1.2121836,6.1769617,True,Campus Sud,,,Sciences et Technologies,limite UL,2024-11-03 20:03:29,AMIDOU MOUDJAHID ,2024-11-03 20:03:29,POINT (302176.5418025536 683098.5347714842)
Poubelle ,1.2121087,6.1771011,True,Campus Sud,,,Sciences et Technologies,limite UL,2024-11-03 20:03:29,AMIDOU ,2024-11-03 20:03:29,POINT (302168.304294228 683113.9796731656)
Poubelle ,1.2120139,6.1771283,True,Campus Sud,,,Sciences et Technologies,limite UL,2024-11-03 20:03:29,AMIDOU ,2024-11-03 20:03:29,POINT (302157.8124783668 683117.01873112)
Poubelle ,1.2120412,6.176951,True,Campus Sud,,,Sciences et Technologies,limite UL,2024-11-03 20:03:29,AMIDOU ,2024-11-03 20:03:29,POINT (302160.77057292825 683097.4032475027)
Poubelle ,1.2116192,6.1765002,True,Campus Sud,,,Sciences et Technologies,limite UL,2024-11-03 20:03:29,AMIDOU ,2024-11-03 20:03:29,POINT (302113.89792773605 683047.7068389335)
Poubelle ,1.2119603,6.1763603,True,Campus Sud,,,Sciences et Technologies,limite UL,2024-11-03 20:03:29,AMIDOU ,2024-11-03 20:03:29,POINT (302151.5988425648 683032.1043469603)
