nom,longitude,latitude,fonctionnel,secteur,type,materiel,nombe_place,toiture,image,date_creation,zone,trame_verte,aire_repos,limite,date_collecte,agent_collecteur,info_modifier_le,geometry
Reposoir  0,1.21118,6.185051,True,Campus Nord,Table banc,Béton,4.0,,,,Sciences Economiques et de Gestion,,,limite UL,2024-11-01 23:42:17,Kpogli gédéon ,2024-11-01 23:42:17,POINT (302068.5050874562 683993.5500435004)
Reposoir  1,1.211153,6.185031,True,Campus Nord,Banc,Béton,2.0,,,,Sciences Economiques et de Gestion,,,limite UL,2024-11-01 23:42:17,Kpogli gédéon ,2024-11-01 23:42:17,POINT (302065.5093207607 683991.3299316294)
Reposoir  2,1.211135,6.185028,True,Campus Nord,Table banc,Béton,4.0,,,,Sciences Economiques et de Gestion,,,limite UL,2024-11-01 23:42:17,Kpogli gédéon ,2024-11-01 23:42:17,POINT (302063.4946094635 683991.0645312556)
Reposoir  3,1.210996,6.184956,True,Campus Nord,Table banc,Béton,4.0,,,,Sciences Economiques et de Gestion,,,limite UL,2024-11-01 23:42:17,Kpogli gédéon ,2024-11-01 23:42:17,POINT (302048.106488216 683983.1642641405)
Reposoir  4,1.210971,6.184948,True,Campus Nord,Banc,Béton,2.0,,,,Sciences Economiques et de Gestion,,,limite UL,2024-11-01 23:42:17,Kpogli gédéon ,2024-11-01 23:42:17,POINT (302045.31151005847 683982.1957692901)
Reposoir  5,1.210945,6.184922,False,Campus Nord,Table banc,Béton,4.0,,,,Sciences Economiques et de Gestion,,,limite UL,2024-11-01 23:42:17,Kpogli gédéon ,2024-11-01 23:42:17,POINT (302042.40285188024 683979.4166280057)
Reposoir  6,1.210761,6.184783,True,Campus Nord,Table banc,Béton,4.0,,,,Sciences Economiques et de Gestion,,,limite UL,2024-11-01 23:42:17,Kpogli gédéon ,2024-11-01 23:42:17,POINT (302022.0277302194 683964.0717077599)
Reposoir  7,1.210726,6.184738,True,Campus Nord,Table banc,Béton,4.0,,,,Sciences Economiques et de Gestion,,,limite UL,2024-11-01 23:42:17,Kpogli gédéon ,2024-11-01 23:42:17,POINT (302018.1187462986 683959.1385139227)
Reposoir  8,1.21071,6.184733,True,Campus Nord,Banc,Béton,2.0,,,,Sciences Economiques et de Gestion,,,limite UL,2024-11-01 23:42:17,Kpogli gédéon ,2024-11-01 23:42:17,POINT (302016.2864437118 683958.5442483611)
Reposoir  9,1.210717,6.184743,True,Campus Nord,Banc,Béton,2.0,,,,Sciences Economiques et de Gestion,,,limite UL,2024-11-01 23:42:17,Kpogli gédéon ,2024-11-01 23:42:17,POINT (302017.10814215615 683959.6194739001)
