nom,longitude,latitude,fonctionnel,secteur,type,proprietaire,image,date_creation,zone,limite,date_collecte,agent_collecteur,info_modifier_le,geometry
wifi wascal 01 luc,1.214392,6.175942,True,,,,,,,,2024-02-29 21:39:51,,2024-02-29 21:39:51,POINT (302420.55959418986 682984.9223173244)
wifi wascal 02 luc,1.214262,6.17593,True,,,,,,,,2024-02-29 21:39:51,,2024-02-29 21:39:51,POINT (302406.17942198087 682983.7075310447)
antenne de relais wascal ,1.214012,6.176031,True,,,,,,,,2024-02-29 21:39:51,,2024-02-29 21:39:51,POINT (302378.5162745523 682994.892093233)
wifi rep des luc,1.214443,6.175164,True,,,,,,,,2024-02-29 21:39:51,,2024-02-29 21:39:51,POINT (302425.9383802777 682898.9195761754)
wifi amphi theatr 01,1.213837,6.175086,True,,,,,,,,2024-02-29 21:39:51,,2024-02-29 21:39:51,POINT (302358.8033172232 682890.4462894797)
wifi parking fds 01,1.213345,6.174989,True,,,,,,,,2024-02-29 21:39:51,,2024-02-29 21:39:51,POINT (302304.3584247387 682879.9508059757)
wifi rep esa 01,1.212744,6.17547,True,,,,,,,,2024-02-29 21:39:51,,2024-02-29 21:39:51,POINT (302238.0076734665 682933.3584856312)
wifi atelier ensi luc,1.21242,6.175974,True,,,,,,,,2024-02-29 21:39:51,,2024-02-29 21:39:51,POINT (302202.3712756699 682989.2610672637)
lab hydrologie appliqu� 1,1.210531,6.171549,True,,,,,,,,2024-02-29 21:39:51,,2024-02-29 21:39:51,POINT (301991.58568942104 682500.481558554)
wifi mosqu�,1.211385,6.171719,True,,,,,,,,2024-02-29 21:39:51,,2024-02-29 21:39:51,POINT (302086.1415424169 682518.9655549756)
Antenne relais Ecobank,1.214316,6.169207,True,,,,,,,,2024-02-29 21:39:52,,2024-02-29 21:39:52,POINT (302409.7325841477 682240.1357834511)
antenne de relais cite A en renovation,1.214682,6.168786,True,,,,,,,,2024-02-29 21:39:52,,2024-02-29 21:39:52,POINT (302449.9984909013 682193.3887202697)
wifi resto 1,1.215783,6.169782,True,,,,,,,,2024-02-29 21:39:52,,2024-02-29 21:39:52,POINT (302572.3041912251 682303.1402768763)
wifi resto 2,1.214876,6.169491,True,,,,,,,,2024-02-29 21:39:52,,2024-02-29 21:39:52,POINT (302471.74401643424 682271.2535191772)
antenne relais coul,1.217429,6.168824,True,,,,,,,,2024-02-29 21:39:52,,2024-02-29 21:39:52,POINT (302754.14684566075 682196.5657078398)
CRD couchoro wifi 1,1.215896,6.17068,True,,,,,,,,2024-02-29 21:39:52,,2024-02-29 21:39:52,POINT (302585.1221265991 682402.3790383225)
CRD WIFI 2,1.215692,6.171005,True,,,,,,,,2024-02-29 21:39:52,,2024-02-29 21:39:52,POINT (302562.68673497415 682438.4291043428)
CRD wifi 3,1.215746,6.171364,True,,,,,,,,2024-02-29 21:39:52,,2024-02-29 21:39:52,POINT (302568.73158392357 682478.138567959)
difop wifi 1,1.214289,6.171251,True,,,,,,,,2024-02-29 21:39:52,,2024-02-29 21:39:52,POINT (302407.42516960227 682466.2080691353)
antenne isica ,1.213644,6.171352,True,,,,,,,,2024-02-29 21:39:52,,2024-02-29 21:39:52,POINT (302336.07703589776 682477.6086843499)
wifi isica,1.213501,6.171343,True,,,,,,,,2024-02-29 21:39:52,,2024-02-29 21:39:52,POINT (302320.3075003652 682476.6960467485)
wifi fdd 1,1.212963,6.172425,True,,,,,,,,2024-02-29 21:39:52,,2024-02-29 21:39:52,POINT (302261.1465795274 682596.4509311477)
wifi fdd2,1.2133,6.172534,True,,,,,,,,2024-02-29 21:39:52,,2024-02-29 21:39:52,POINT (302298.42339597375 682608.4218863987)
antenne relais fdd,1.213268,6.172126,True,,,,,,,,2024-02-29 21:39:52,,2024-02-29 21:39:52,POINT (302294.7367367605 682563.3195220565)
antenne fdd 3,1.213649,6.172029,True,,,,,,,,2024-02-29 21:39:52,,2024-02-29 21:39:52,POINT (302336.92921189585 682552.5087364707)
wifi amphi 600,1.213475,6.173513,True,,,,,,,,2024-02-29 21:39:52,,2024-02-29 21:39:52,POINT (302318.1832348745 682716.5968916978)
wifi Auf,1.214106,6.173873,True,,,,,,,,2024-02-29 21:39:52,,2024-02-29 21:39:52,POINT (302388.1724476777 682756.2191018985)
wifi Biblio luc,1.214744,6.174311,True,,,,,,,,2024-02-29 21:39:52,,2024-02-29 21:39:52,POINT (302458.9030531765 682804.3946607581)
