nom,longitude,latitude,categorie,secteur,aire,image,date_creation,zone,batiment,lampadaire,limite,date_collecte,agent_collecteur,info_modifier_le,geometry
Parc Forestier Reboisé 1,1.216877,6.174433,Parc Forestier Reboisé,,22919.601683395435,,,,,,,2024-02-15 21:28:32,,2024-02-15 21:28:32,"MULTIPOLYGON (((302580.2130422812 682861.8013502009, 302774.77571948094 682880.5229011768, 302826.4707453814 682779.6713008957, 302597.26069195766 682752.2609171543, 302596.8472186633 682774.01806417, 302580.2130422812 682861.8013502009)))"
Aire Forestiére Naturelles Existante,1.210945,6.169654,Aire Forestiére Naturelles Existante,,13192.812210486405,,,,,,,2024-02-15 21:28:32,,2024-02-15 21:28:32,"MULTIPOLYGON (((301981.527975545 682345.6571963036, 302073.4577835116 682373.7736076743, 302091.2694106259 682229.2560084134, 301997.66224611877 682213.7343862196, 301981.527975545 682345.6571963036)))"
Parc Forestier Reboisé 2,1.209463,6.179675,Parc Forestier Reboisé,,12021.76694330864,,,,,,,2024-02-15 21:28:32,,2024-02-15 21:28:32,"MULTIPOLYGON (((301837.3391675802 683516.2612154813, 301885.19838531804 683525.6029733608, 301916.4121076993 683279.9765489778, 301865.86018803786 683279.3213204698, 301837.3391675802 683516.2612154813)))"
Aire Forestiére de Redéployement Reboisé 1,1.210486,6.180417,Aire Forestiére de Redéployement Reboisé,,59716.96909199701,,,,,,,2024-02-15 21:28:32,,2024-02-15 21:28:32,"MULTIPOLYGON (((301884.1944682639 683655.9480854102, 302057.2050650215 683633.0113969375, 302107.9694826808 683626.6784528415, 302096.45473410335 683552.837632301, 302087.4419607099 683540.2484485512, 302086.5050027121 683510.9545397921, 302096.328257691 683496.3411206207, 302059.6872125311 683479.4710156274, 302053.6842722382 683282.224476808, 301933.0808671857 683278.9207417617, 301914.98253920855 683404.5783760927, 301899.2151051524 683532.2914907072, 301884.1944682639 683655.9480854102)))"
Aire Forestiére Naturelles Existante 1,1.213794,6.176569,Aire Forestiére Naturelles Existante,,7238.195258632423,,,,,,,2024-02-15 21:28:32,,2024-02-15 21:28:32,"MULTIPOLYGON (((302300.77331279777 683050.840111766, 302337.7499302797 683113.5547231134, 302399.6323803677 683076.1577351732, 302401.36861449864 683014.0642423414, 302328.9543276903 683010.4151443717, 302300.77331279777 683050.840111766)))"
Aire Forestiére Naturelles Existante 2,1.213398,6.175716,Aire Forestiére Naturelles Existante,,1514.0240626557536,,,,,,,2024-02-15 21:28:32,,2024-02-15 21:28:32,"MULTIPOLYGON (((302291.915611955 682980.9667797837, 302326.86109930126 682982.6559027025, 302329.39639286255 682940.2313507516, 302293.91367680137 682937.6749633129, 302291.915611955 682980.9667797837)))"
Aire Forestiére Naturelles Reboisé,1.207439,6.183305,Aire Forestiére Naturelles Reboisé,,29686.644709759566,,,,,,,2024-02-15 21:28:32,,2024-02-15 21:28:32,"MULTIPOLYGON (((301624.526034547 683990.6354039923, 301661.3762616038 683979.0470502735, 301658.4595615911 683870.1681958485, 301709.05298134394 683771.7702623062, 301782.9284765433 683764.6585526228, 301793.7364658932 683699.6442530088, 301739.1361032926 683705.3027352515, 301559.3044877666 683721.719076191, 301554.9180026597 683725.2852478485, 301559.32583321945 683744.1426029537, 301579.05916087463 683825.8999802874, 301607.3087278346 683916.8401049844, 301620.9230180953 683971.1777867618, 301624.526034547 683990.6354039923)))"
Aire Forestiére de Redéployement Non reboisée,1.214927,6.17807,Aire Forestiére de Redéployement Non reboisée,,112906.18435451711,,,,,,,2024-02-15 21:28:32,,2024-02-15 21:28:32,"MULTIPOLYGON (((302300.58654223755 683287.745206919, 302312.2895052564 683318.1073948375, 302316.2151696548 683354.6807051966, 302313.39980985364 683383.5649979203, 302379.58031983016 683384.7756056034, 302385.36417750036 683420.4672308435, 302378.30429584696 683466.6076725724, 302448.7533389516 683531.9063955612, 302519.5041946068 683386.6466054954, 302574.13058756327 683282.2466607896, 302709.1918475522 683008.046004251, 302471.79401914077 682994.1307761751, 302468.7199779814 683031.877414651, 302456.6586038341 683061.9790083005, 302432.3943110988 683079.9691578153, 302331.46224533184 683141.7093161179, 302323.8130746179 683151.3289782279, 302323.46922310547 683239.5948400571, 302314.5956697931 683265.8482015515, 302300.58654223755 683287.745206919)))"
Centre de Traitement des Eaux Non Amenagé,1.21205,6.166341,Centre de Traitement des Eaux Non Amenagé,,25381.97323091911,,,,,,,2024-02-15 21:28:32,,2024-02-15 21:28:32,"MULTIPOLYGON (((302059.70714470174 681996.9820060069, 302237.34890845156 681991.9428968531, 302260.50406896404 681853.025936942, 302074.2125135638 681856.0868700111, 302059.70714470174 681996.9820060069)))"
Espace vert aménagé 2,1.215198,6.173982,Espace vert aménagé,,7836.0051073473805,,,,,,,2024-02-15 21:28:32,,2024-02-15 21:28:32,"MULTIPOLYGON (((302477.89284526126 682843.398928116, 302477.950238631 682843.9135683457, 302478.1636386186 682844.3854555656, 302478.51225313847 682844.768612653, 302478.9621158252 682845.0257076789, 302479.4693954597 682845.1316912494, 302491.49894833274 682845.7261340544, 302492.170945007 682845.6198875251, 302506.3447308894 682840.2360503598, 302506.75786332856 682840.0073107204, 302507.08981717203 682839.671590885, 302524.61475481326 682815.9866702752, 302524.6427341167 682815.9476897352, 302534.84407159337 682801.2924295514, 302534.94726324617 682801.1235115551, 302549.84101643076 682773.112166129, 302549.94756600144 682772.865362579, 302553.32750418806 682762.8804715057, 302553.4150275355 682762.3519856298, 302553.32944061526 682761.8231841759, 302547.0834810692 682743.1467314156, 302546.8872376632 682742.7478244731, 302542.7820197473 682736.6379762025, 302540.8720280446 682730.0404626254, 302540.7017754917 682729.6495303141, 302540.4374279367 682729.3148642144, 302529.2305940605 682718.3740439985, 302511.0674360227 682696.5847275434, 302510.6720242628 682696.2398882584, 302510.18864153256 682696.0356007213, 302486.8912904321 682690.3038355332, 302486.40639458515 682690.2580512816, 302485.92906536197 682690.3548281513, 302485.5003796332 682690.5858379481, 302485.1572282219 682690.9312009778, 302484.92914123985 682691.3611968053, 302484.8357468551 682691.8388218669, 302477.89284526126 682843.398928116)))"
