nom,theme,aire,longitude,latitude,limite,geometry
Aire culturelle,Aire culturelle,27890.297263868266,1.217441,6.17341,limite UL,"MULTIPOLYGON (((302597.57090936136 682748.3340357039, 302827.78192473855 682775.544318175, 302885.6842288971 682646.9478575736, 302786.73322547093 682614.6962979966, 302593.3124226953 682712.4788341613, 302597.57090936136 682748.3340357039)))"
Grandes aires de stationnement 2,Grandes aires de stationnement,7145.883311372923,1.218576,6.172484,limite UL,"MULTIPOLYGON (((302885.6842288971 682646.9478575736, 302894.9770267322 682633.0045545445, 302958.50725278124 682537.564062038, 302967.18365663115 682520.2438859972, 302967.18365663115 682520.2438859972, 302950.77190687764 682525.2830536979, 302934.39302711573 682529.112233766, 302900.45021349576 682556.9777709353, 302786.73322547093 682614.6962979966, 302885.6842288971 682646.9478575736)))"
Crèche,Crèche,12136.612514185026,1.210853,6.17803,limite UL,"MULTIPOLYGON (((301919.81383481156 683270.8575666994, 302054.66580244154 683281.2426302955, 302054.47527050105 683258.0300375621, 302054.29089316167 683235.5672626793, 302128.05355843727 683151.8896829259, 302128.05355843727 683151.8896829259, 302115.8491808525 683135.0130603976, 302103.54435066256 683115.0155987801, 301919.81383481156 683270.8575666994)))"
Aires forestières 4,Aires forestières,24374.840711827706,1.216882,6.174421,limite UL,"MULTIPOLYGON (((302581.46357371844 682863.2981255893, 302776.66992666665 682882.441221036, 302827.78192473855 682775.544318175, 302597.57090936136 682748.3340357039, 302581.46357371844 682863.2981255893)))"
Zone résidentielles 2,Zone résidentielles,309489.9353330599,1.214937,6.16748,,"MULTIPOLYGON (((302089.6072571259 682281.880169183, 302215.35665382445 682217.8649937343, 302322.6883965116 682239.9563346915, 302349.65744437155 682330.3440573857, 302408.88892988797 682360.3507612305, 302424.3576917446 682322.7745584031, 302447.84527966793 682235.5320376742, 302447.84527966793 682235.5320376742, 302602.5084848929 682233.2244781267, 302605.7746480332 682234.4954262833, 302618.07767325506 682236.0964518503, 302777.2975277339 682238.1860752939, 302788.2556725466 682193.3808722355, 302864.8408013899 682140.1529625766, 302871.89544178266 681965.7184407637, 302807.559624771 681957.4474900297, 302806.45471661637 681951.1958906266, 302816.30724157963 681854.0859690201, 302816.3943147741 681852.8378532941, 302828.04400467686 681794.5507083293, 302719.9578173455 681795.7716374164, 302513.19955087325 681798.1071549123, 302381.9164265681 681798.5008179741, 302352.93997392367 681798.58770621, 302343.3338076961 681798.616511076, 302311.3584990036 681798.7123916242, 302268.7616606839 681936.4377553873, 302271.5229816139 682033.7538553514, 302147.0629356913 682053.3044299576, 301993.9405973617 682056.0814649952, 301989.49945727707 682088.8812805541, 301986.2477039669 682118.481799657, 301975.8730672722 682212.9215072154, 302091.0935081458 682230.005140312, 302089.6072571259 682281.880169183)))"
Sciences Agronomiques,Sciences Agronomiques,134446.1347255562,1.210451,6.175252,limite UL,"MULTIPOLYGON (((301845.0962886289 683269.7817804199, 301919.81383481156 683270.8575666994, 302103.54435066256 683115.0155987801, 302111.50666509476 682936.2097496651, 302130.89399319666 682864.6668580226, 302072.12258164305 682810.5931040607, 302106.19412295334 682672.6746673808, 302055.7761664884 682656.3650015481, 302070.88428110164 682540.740266297, 301935.574545335 682526.3747130353, 301845.0962886289 683269.7817804199)))"
Sciences et Technologies,Sciences et Technologies,204929.404145227,1.213869,6.176597,limite UL,"MULTIPOLYGON (((302485.1177518349 682915.1591756381, 302487.8825025108 682846.8488777067, 302314.1356736722 682837.1635140431, 302171.2250058163 682827.4163661583, 302169.2991463444 682831.0866513092, 302167.6422330589 682834.2443813081, 302130.89399319666 682864.6668580226, 302111.50666509476 682936.2097496651, 302103.54435066256 683115.0155987801, 302115.8491808525 683135.0130603976, 302128.05355843727 683151.8896829259, 302128.05355843727 683151.8896829259, 302128.05355843727 683151.8896829259, 302162.00879766606 683182.1005732287, 302287.5387132767 683276.6123181788, 302310.0192037979 683280.7165929824, 302574.9092195468 683280.990405708, 302702.43983287696 683029.582508755, 302717.264948722 683000.3640092183, 302671.32823580824 682997.9386791926, 302478.0556933768 682987.7344292458, 302485.1177518349 682915.1591756381)))"
Espace administratif et pédagogique 2,Espace administratif et pédagogique,118397.41461853482,1.214388,6.174292,limite UL,"MULTIPOLYGON (((302485.1177518349 682915.1591756381, 302478.0556933768 682987.7344292458, 302671.32823580824 682997.9386791926, 302717.264948722 683000.3640092183, 302732.51977706666 682969.5560697193, 302776.66992666665 682882.441221036, 302581.46357371844 682863.2981255893, 302597.57090936136 682748.3340357039, 302593.3124226953 682712.4788341613, 302593.2740170767 682711.3840232199, 302438.1090045608 682681.0253838984, 302363.24764241936 682675.8084170719, 302196.1820240484 682665.3391612866, 302106.19412295334 682672.6746673808, 302072.12258164305 682810.5931040607, 302130.89399319666 682864.6668580226, 302167.6422330589 682834.2443813081, 302169.2991463444 682831.0866513092, 302171.2250058163 682827.4163661583, 302314.1356736722 682837.1635140431, 302487.8825025108 682846.8488777067, 302485.1177518349 682915.1591756381)))"
Sciences de la Santé,Sciences de la Santé,192086.58714149825,1.211837,6.180141,limite UL,"MULTIPOLYGON (((302375.10896745254 683443.2166681828, 302380.0778276203 683410.7646838315, 302375.6619734134 683381.2501098439, 302343.267704646 683383.1226616917, 302310.0192037979 683280.7165929824, 302287.5387132767 683276.6123181788, 302162.00879766606 683182.1005732287, 302128.05355843727 683151.8896829259, 302054.2908931626 683235.5672626812, 302054.47527050105 683258.0300375621, 302054.66580244154 683281.2426302955, 301919.81383481104 683270.857566705, 301894.9909655545 683525.4253540356, 301884.3917043318 683671.4193028861, 301884.44591658807 683671.4088727301, 301917.7932619853 683664.6538848865, 301986.2716245184 683653.5398305011, 302088.1139745016 683639.0766892048, 302305.8146271108 683637.0438088973, 302318.52098786464 683644.9213269434, 302321.91032776865 683640.3871201526, 302345.6309245331 683603.5138418908, 302347.9240551219 683606.8903855694, 302384.2690859648 683661.0913451998, 302440.3100867909 683548.2557494763, 302407.1612174972 683499.3172585592, 302374.012348203 683450.3787676413, 302375.10896745254 683443.2166681828)))"
"Sciences Juridiques, Lettres et Arts 1","Sciences Juridiques, Lettres et Arts",179884.05348135415,1.213276,6.171624,limite UL,"MULTIPOLYGON (((302055.7761664884 682656.3650015481, 302106.19412295334 682672.6746673808, 302196.1820240484 682665.3391612866, 302196.1820240484 682665.3391612866, 302363.24764241936 682675.8084170719, 302438.1090045608 682681.0253838984, 302593.2740170767 682711.3840232199, 302595.01637038216 682349.0880071502, 302509.8815898979 682410.643750485, 302496.81122392416 682407.9226091653, 302423.39611268416 682366.362937266, 302408.88892988797 682360.3507612305, 302349.65744437155 682330.3440573857, 302256.3049472212 682325.5730038235, 302247.45632573956 682323.2731016516, 302150.31326801196 682410.317943418, 302066.9716418623 682386.4672282158, 301959.0182130793 682341.9741627611, 301935.574545335 682526.3747130353, 302070.88428110164 682540.740266297, 302055.7761664884 682656.3650015481)))"
